"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4"
0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;0,002;-8,212E-4;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;0,002;-8,046E-4;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;0,002;-7,348E-4
0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;0,002;-8,453E-4;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;0,002;-8,536E-4;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;0,002;-7,667E-4
0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,297E-4;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,310E-4;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,060E-4
0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,831E-4;0,150;0,000;0,000;0,582;0,0000;0,000;0,014;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,472E-4;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,761E-4
0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,842E-4;0,200;0,000;0,058;0,776;0,0000;0,001;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,842E-4;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,171E-4
0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,607E-4;0,250;0,000;0,116;0,388;0,0000;0,003;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,480E-4;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,824E-4
0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,754E-4;0,300;0,017;0,116;-0,194;4,1667E-4;0,003;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,672E-4;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,849E-4
0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,646E-4;0,350;0,017;0,058;0,194;4,1667E-4;0,001;0,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,514E-4;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,391E-4
0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,006E-4;0,400;0,017;0,058;2,133;4,1667E-4;0,001;0,051;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,641E-4;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,646E-4
0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,477E-4;0,450;0,017;0,233;5,236;4,1667E-4;0,006;0,125;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,219E-4;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,017E-4
