"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4"
0,000;0,017;;;4,1667E-4;;;0,000;;;0,0000;;;0,002;-7,659E-4;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;0,002;-6,964E-4;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;0,002;-6,883E-4
0,050;0,175;4,014;;0,0042;0,096;;0,000;0,000;;0,0000;0,000;;0,002;-8,214E-4;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;0,002;-6,958E-4;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;0,002;-6,733E-4
0,100;0,419;6,749;58,178;0,0100;0,161;1,389;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,359E-4;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,040E-4;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,200E-4
0,150;0,838;9,832;60,311;0,0200;0,235;1,440;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,409E-4;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,187E-4;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,874E-4
0,200;1,379;13,265;48,481;0,0329;0,317;1,157;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,847E-4;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,219E-4;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,470E-4
0,250;2,164;15,592;17,841;0,0517;0,372;0,426;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,514E-4;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,488E-4;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,493E-4
0,300;3,072;15,533;-23,659;0,0733;0,371;-0,565;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,527E-4;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,155E-4;0,300;0,000;0,000;-0,388;0,0000;0,000;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,316E-4
0,350;3,822;12,915;-59,923;0,0912;0,308;-1,431;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,320E-4;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,178E-4;0,350;0,000;0,000;-1,164;0,0000;0,000;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,981E-4
0,400;4,381;8,843;-81,837;0,1046;0,211;-1,954;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,702E-4;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,957E-4;0,400;0,000;-0,116;-1,164;0,0000;-0,003;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,615E-4
0,450;4,730;4,305;-90,369;0,1129;0,103;-2,157;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,319E-4;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,531E-4;0,450;0,000;-0,233;2,715;0,0000;-0,006;0,065;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,266E-4
